station,station_id,year,month,day,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,wind_mean_kmh,wind_max_kmh
S06,S06,2013,1,1,0.7,,32.9,24.0,11.6,38.9
S06,S06,2013,1,2,32.6,,32.1,24.2,8.8,35.3
S06,S06,2013,1,3,6.3,,32.9,25.2,9.6,33.5
S06,S06,2013,1,4,0.0,,32.5,25.5,15.0,33.5
S06,S06,2013,1,5,0.0,,32.3,25.4,14.2,37.1
S06,S06,2013,1,6,0.0,,34.3,25.6,11.8,27.7
S06,S06,2013,1,7,0.0,,35.3,26.6,13.6,40.7
S06,S06,2013,1,8,12.3,,34.3,23.2,13.2,61.2
S06,S06,2013,1,9,5.5,,33.0,24.5,11.1,44.3
S06,S06,2013,1,10,0.0,,31.6,25.6,13.3,31.3
S06,S06,2013,1,11,0.1,,32.2,25.4,17.8,35.3
S06,S06,2013,1,12,2.0,,32.5,25.2,13.6,35.3
S06,S06,2013,1,13,24.0,,31.2,24.5,8.8,42.5
S06,S06,2013,1,14,0.5,,31.9,25.4,16.5,37.1
S06,S06,2013,1,15,0.5,,31.7,25.5,16.1,38.9
S06,S06,2013,1,16,0.2,,31.8,25.2,18.4,37.1
S06,S06,2013,1,17,0.0,,31.9,25.4,23.4,44.3
S06,S06,2013,1,18,64.5,,33.4,23.0,19.5,48.2
S06,S06,2013,1,19,49.8,,24.6,23.1,10.8,35.3
S06,S06,2013,1,20,5.8,,26.2,23.7,9.1,29.5
S06,S06,2013,1,21,1.5,,32.0,24.2,15.8,33.5
S06,S06,2013,1,22,0.9,,29.0,24.1,16.3,33.5
S06,S06,2013,1,23,0.0,,32.0,25.2,17.7,38.9
S06,S06,2013,1,24,2.8,,31.6,25.0,14.0,40.7
S06,S06,2013,1,25,0.0,,32.0,25.2,18.5,38.9
S06,S06,2013,1,26,0.0,,32.0,25.0,17.9,35.3
S06,S06,2013,1,27,0.0,,32.0,25.0,18.2,37.1
S06,S06,2013,1,28,0.0,,31.6,25.5,18.5,37.1
S06,S06,2013,1,29,0.0,,31.9,24.8,19.1,42.5
S06,S06,2013,1,30,0.0,,32.1,25.0,18.6,38.9
S06,S06,2013,1,31,0.0,,32.3,25.2,18.2,38.9
S06,S06,2013,2,1,0.0,,32.7,25.7,21.8,44.3
S06,S06,2013,2,2,0.0,,33.5,25.8,20.5,44.3
S06,S06,2013,2,3,50.3,,28.7,24.1,11.6,42.5
S06,S06,2013,2,4,0.5,,30.0,24.2,12.7,35.3
S06,S06,2013,2,5,8.2,,31.5,23.9,12.4,35.3
S06,S06,2013,2,6,45.2,,29.7,24.5,7.9,35.3
S06,S06,2013,2,7,3.9,,32.1,24.6,10.4,33.5
S06,S06,2013,2,8,19.0,,31.1,24.3,5.8,33.5
S06,S06,2013,2,9,1.7,,32.5,24.6,7.9,29.5
S06,S06,2013,2,10,28.8,,27.2,22.5,12.8,29.5
S06,S06,2013,2,11,0.6,,30.0,24.2,9.4,44.3
S06,S06,2013,2,12,6.9,,29.5,24.4,11.4,31.3
S06,S06,2013,2,13,0.6,,31.9,25.0,14.8,42.5
S06,S06,2013,2,14,71.3,,28.5,23.7,7.4,29.5
S06,S06,2013,2,15,0.9,,30.6,24.1,10.3,44.3
S06,S06,2013,2,16,1.5,,30.5,24.7,9.9,38.9
S06,S06,2013,2,17,0.1,,26.4,24.5,7.8,24.1
S06,S06,2013,2,18,13.5,,31.7,25.1,7.1,20.5
S06,S06,2013,2,19,0.2,,28.5,25.5,5.2,14.8
S06,S06,2013,2,20,0.2,,32.5,25.1,6.2,16.6
S06,S06,2013,2,21,3.2,,31.0,25.3,4.7,13.0
S06,S06,2013,2,22,0.0,,33.3,25.2,8.6,18.4
S06,S06,2013,2,23,0.0,,33.7,25.2,7.4,20.5
S06,S06,2013,2,24,0.0,,31.6,25.6,7.5,22.3
S06,S06,2013,2,25,48.2,,32.3,24.1,5.1,18.4
S06,S06,2013,2,26,63.4,,33.0,24.8,4.1,13.0
S06,S06,2013,2,27,2.3,,31.4,25.1,3.3,16.6
S06,S06,2013,2,28,0.1,,33.6,25.3,3.8,11.2
S06,S06,2013,3,1,0.0,,34.9,26.3,5.3,14.8
S06,S06,2013,3,2,36.2,,33.5,24.7,6.6,20.5
S06,S06,2013,3,3,0.0,,31.9,25.2,10.2,24.1
S06,S06,2013,3,4,0.0,,32.8,25.1,10.9,25.9
S06,S06,2013,3,5,1.2,,32.7,25.5,9.3,24.1
S06,S06,2013,3,6,0.0,,32.0,25.4,8.0,18.4
S06,S06,2013,3,7,0.0,,33.2,25.8,7.7,20.5
S06,S06,2013,3,8,0.0,,32.6,25.7,9.7,24.1
S06,S06,2013,3,9,5.8,,32.3,25.5,6.0,18.4
S06,S06,2013,3,10,38.3,,33.0,24.3,4.1,14.8
S06,S06,2013,3,11,0.0,,33.5,24.9,6.4,18.4
S06,S06,2013,3,12,0.0,,33.9,24.8,4.6,24.1
S06,S06,2013,3,13,2.6,,34.3,25.5,3.9,14.8
S06,S06,2013,3,14,17.9,,33.4,25.0,5.7,24.1
S06,S06,2013,3,15,0.0,,34.3,25.3,6.1,18.4
S06,S06,2013,3,16,0.0,,34.2,26.2,7.3,16.6
S06,S06,2013,3,17,3.5,,32.8,25.5,4.9,16.6
S06,S06,2013,3,18,0.0,,34.5,25.8,5.7,14.8
S06,S06,2013,3,19,0.0,,34.5,25.7,6.7,18.4
S06,S06,2013,3,20,0.0,,33.4,26.2,3.5,16.6
S06,S06,2013,3,21,0.0,,34.3,26.9,4.4,14.8
S06,S06,2013,3,22,4.2,,33.6,25.6,4.2,14.8
S06,S06,2013,3,23,0.0,,34.0,26.8,4.2,13.0
S06,S06,2013,3,24,2.5,,34.0,26.5,4.4,14.8
S06,S06,2013,3,25,48.6,,33.0,25.0,3.9,11.2
S06,S06,2013,3,26,0.3,,33.2,24.1,3.4,14.8
S06,S06,2013,3,27,17.5,,33.3,25.2,3.5,18.4
S06,S06,2013,3,28,0.0,,32.9,27.0,3.5,14.8
S06,S06,2013,3,29,5.6,,33.3,26.4,3.5,13.0
S06,S06,2013,3,30,7.5,,34.8,26.5,4.0,13.0
S06,S06,2013,3,31,0.0,,35.1,27.0,3.5,14.8
S06,S06,2013,4,1,9.9,,35.1,26.7,4.1,20.5
S06,S06,2013,4,2,7.9,,34.7,27.0,4.0,18.4
S06,S06,2013,4,3,4.0,,33.9,26.4,4.2,14.8
S06,S06,2013,4,4,2.7,,33.6,25.7,4.1,13.0
S06,S06,2013,4,5,0.0,,34.7,26.2,5.3,14.8
S06,S06,2013,4,6,4.5,,30.8,26.5,4.8,27.7
S06,S06,2013,4,7,0.0,,31.7,27.0,4.4,14.8
S06,S06,2013,4,8,1.6,,34.5,26.6,2.9,13.0
S06,S06,2013,4,9,0.0,,33.1,26.8,3.0,13.0
S06,S06,2013,4,10,0.3,,33.5,26.0,4.7,14.8
S06,S06,2013,4,11,0.0,,31.4,26.0,3.6,9.4
S06,S06,2013,4,12,0.0,,34.6,26.9,4.2,13.0
S06,S06,2013,4,13,34.0,,34.4,22.7,4.9,22.3
S06,S06,2013,4,14,0.5,,28.9,22.6,3.3,25.9
S06,S06,2013,4,15,0.0,,34.5,26.2,4.5,13.0
S06,S06,2013,4,16,65.8,,33.6,22.8,3.5,11.2
S06,S06,2013,4,17,1.3,,32.8,23.4,6.5,16.6
S06,S06,2013,4,18,1.6,,35.7,25.3,5.0,18.4
S06,S06,2013,4,19,5.6,,30.0,25.4,3.5,14.8
S06,S06,2013,4,20,0.0,,33.4,26.8,5.9,14.8
S06,S06,2013,4,21,4.6,,32.4,24.4,3.4,27.7
S06,S06,2013,4,22,0.0,,34.4,25.0,4.0,11.2
S06,S06,2013,4,23,0.0,,32.2,26.9,2.8,14.8
S06,S06,2013,4,24,0.0,,33.6,27.0,4.8,14.8
S06,S06,2013,4,25,5.0,,34.4,23.9,3.2,11.2
S06,S06,2013,4,26,0.6,,30.8,24.3,2.9,22.3
S06,S06,2013,4,27,4.0,,33.3,26.3,2.5,11.2
S06,S06,2013,4,28,52.4,,28.0,23.5,2.7,14.8
S06,S06,2013,4,29,0.0,,33.5,25.8,5.1,18.4
S06,S06,2013,4,30,0.0,,34.3,25.1,3.9,16.6
S06,S06,2013,5,1,0.0,,32.2,26.8,4.8,16.6
S06,S06,2013,5,2,0.0,,32.7,27.1,4.3,14.8
S06,S06,2013,5,3,6.0,,31.3,26.4,3.5,13.0
S06,S06,2013,5,4,1.0,,32.4,26.7,5.4,14.8
S06,S06,2013,5,5,18.4,,31.2,25.2,4.1,13.0
S06,S06,2013,5,6,0.0,,33.0,26.2,2.7,13.0
S06,S06,2013,5,7,25.3,,33.4,24.1,4.4,25.9
S06,S06,2013,5,8,0.5,,31.9,25.6,4.2,16.6
S06,S06,2013,5,9,5.2,,33.1,26.1,4.8,20.5
S06,S06,2013,5,10,0.7,,33.2,27.1,3.6,18.4
S06,S06,2013,5,11,0.0,,30.7,27.2,5.5,14.8
S06,S06,2013,5,12,0.0,,34.7,25.1,5.6,16.6
S06,S06,2013,5,13,0.0,,34.1,27.7,4.7,14.8
S06,S06,2013,5,14,0.0,,32.1,27.5,2.7,16.6
S06,S06,2013,5,15,26.7,,34.1,23.2,4.7,14.8
S06,S06,2013,5,16,1.9,,32.2,23.6,5.7,22.3
S06,S06,2013,5,17,0.0,,35.1,26.9,4.6,13.0
S06,S06,2013,5,18,0.0,,31.3,26.5,4.7,14.8
S06,S06,2013,5,19,0.0,,34.0,26.9,4.9,13.0
S06,S06,2013,5,20,0.0,,32.6,25.9,3.9,13.0
S06,S06,2013,5,21,4.0,,33.7,25.9,3.3,13.0
S06,S06,2013,5,22,0.2,,32.0,26.2,5.0,14.8
S06,S06,2013,5,23,0.0,,32.4,26.7,3.8,11.2
S06,S06,2013,5,24,4.9,,29.9,24.5,3.5,16.6
S06,S06,2013,5,25,0.0,,34.2,26.7,4.3,13.0
S06,S06,2013,5,26,8.3,,32.5,25.3,3.1,13.0
S06,S06,2013,5,27,0.0,,33.6,25.7,5.2,16.6
S06,S06,2013,5,28,0.0,,33.2,26.6,7.4,27.7
S06,S06,2013,5,29,1.0,,29.0,25.2,5.9,18.4
S06,S06,2013,5,30,0.1,,33.7,24.6,11.7,51.8
S06,S06,2013,5,31,35.9,,33.8,25.3,8.3,33.5
S06,S06,2013,6,1,1.2,,33.7,23.8,8.2,63.0
S06,S06,2013,6,2,0.0,,33.6,25.9,7.4,25.9
S06,S06,2013,6,3,38.0,,33.5,26.2,7.6,24.1
S06,S06,2013,6,4,0.0,,32.2,26.1,8.8,27.7
S06,S06,2013,6,5,64.1,,35.0,23.6,9.2,37.1
S06,S06,2013,6,6,22.4,,34.2,25.2,11.0,35.3
S06,S06,2013,6,7,7.9,,35.4,25.8,6.8,40.7
S06,S06,2013,6,8,0.0,,32.8,26.1,7.8,37.1
S06,S06,2013,6,9,2.8,,30.7,24.9,9.7,37.1
S06,S06,2013,6,10,7.9,,33.4,25.3,10.6,35.3
S06,S06,2013,6,11,0.0,,32.6,26.0,13.6,37.1
S06,S06,2013,6,12,0.0,,34.0,28.8,12.0,42.5
S06,S06,2013,6,13,0.0,,34.6,28.3,11.0,33.5
S06,S06,2013,6,14,0.0,,34.4,28.7,9.3,33.5
S06,S06,2013,6,15,0.0,,34.8,28.9,10.2,31.3
S06,S06,2013,6,16,4.8,,34.5,28.3,11.3,31.3
S06,S06,2013,6,17,0.0,,33.9,27.0,8.5,29.5
S06,S06,2013,6,18,0.0,,35.1,28.4,10.1,37.1
S06,S06,2013,6,19,0.0,,35.2,28.8,12.3,40.7
S06,S06,2013,6,20,0.0,,34.7,29.1,11.1,31.3
S06,S06,2013,6,21,0.0,,35.0,28.4,9.9,27.7
S06,S06,2013,6,22,0.0,,35.3,28.5,8.6,27.7
S06,S06,2013,6,23,0.0,,34.1,28.6,10.6,27.7
S06,S06,2013,6,24,0.0,,33.8,28.8,9.1,29.5
S06,S06,2013,6,25,16.7,,34.9,26.5,5.8,37.1
S06,S06,2013,6,26,3.8,,31.0,24.7,6.2,33.5
S06,S06,2013,6,27,0.0,,33.8,26.9,7.3,27.7
S06,S06,2013,6,28,13.8,,32.9,24.7,5.5,35.3
S06,S06,2013,6,29,0.3,,33.8,26.8,8.1,29.5
S06,S06,2013,6,30,1.7,,30.5,25.0,7.1,33.5
S06,S06,2013,7,1,0.0,,32.7,26.8,9.8,35.3
S06,S06,2013,7,2,6.5,,31.1,24.2,11.0,37.1
S06,S06,2013,7,3,0.0,,32.6,26.3,10.8,25.9
S06,S06,2013,7,4,11.0,,30.3,25.2,7.6,37.1
S06,S06,2013,7,5,0.0,,31.5,25.6,8.3,29.5
S06,S06,2013,7,6,0.0,,31.7,27.4,13.3,35.3
