station,station_id,year,month,day,rainfall_mm,temp_mean_c,temp_max_c,temp_min_c,wind_mean_kmh,wind_max_kmh
Sembawang Road,S122,2015,9,25,0.0,28.2,32.3,24.8,5.4,23.0
Sembawang Road,S122,2015,9,26,0.0,28.7,32.5,24.6,5.1,26.3
Sembawang Road,S122,2015,9,27,0.0,28.6,32.6,25.2,3.9,23.4
Sembawang Road,S122,2015,9,28,23.0,27.1,31.9,23.5,3.4,30.6
Sembawang Road,S122,2015,9,29,0.0,27.8,31.7,24.6,3.6,19.1
Sembawang Road,S122,2015,9,30,19.2,27.4,32.7,23.2,3.6,32.4
Sembawang Road,S122,2015,10,1,4.8,28.0,33.0,24.9,4.1,24.8
Sembawang Road,S122,2015,10,2,17.0,27.4,32.0,23.6,4.3,24.1
Sembawang Road,S122,2015,10,3,0.0,28.0,31.4,24.7,4.0,18.0
Sembawang Road,S122,2015,10,4,0.0,28.4,32.4,24.6,4.3,23.4
Sembawang Road,S122,2015,10,5,0.0,27.6,31.1,25.7,3.1,22.0
Sembawang Road,S122,2015,10,6,9.8,27.5,32.9,24.5,3.5,33.5
Sembawang Road,S122,2015,10,7,7.6,27.6,33.1,24.1,3.5,24.5
Sembawang Road,S122,2015,10,8,14.6,26.9,33.8,24.5,3.5,31.3
Sembawang Road,S122,2015,10,9,0.0,28.4,33.3,23.9,4.2,20.2
Sembawang Road,S122,2015,10,10,0.0,28.6,32.8,24.5,4.8,23.0
Sembawang Road,S122,2015,10,11,0.0,29.6,34.2,26.6,5.3,19.4
Sembawang Road,S122,2015,10,12,0.0,28.9,33.9,24.8,4.0,28.1
Sembawang Road,S122,2015,10,13,4.5,28.2,33.9,25.0,4.5,28.4
Sembawang Road,S122,2015,10,14,0.0,28.6,32.8,24.9,4.6,27.4
Sembawang Road,S122,2015,10,15,0.0,29.2,33.9,25.3,4.6,21.2
Sembawang Road,S122,2015,10,16,0.0,28.7,32.6,25.2,4.3,18.4
Sembawang Road,S122,2015,10,17,0.0,28.9,33.2,25.5,4.7,20.5
Sembawang Road,S122,2015,10,18,0.0,29.0,32.5,25.6,4.3,20.5
Sembawang Road,S122,2015,10,19,0.0,29.2,33.4,25.6,4.9,22.7
Sembawang Road,S122,2015,10,20,0.0,28.7,33.5,25.0,4.6,22.3
Sembawang Road,S122,2015,10,21,0.0,28.6,33.0,24.5,5.4,25.2
Sembawang Road,S122,2015,10,22,0.0,29.0,33.2,25.3,4.4,21.2
Sembawang Road,S122,2015,10,23,0.0,29.6,33.6,26.7,5.1,20.5
Sembawang Road,S122,2015,10,24,7.5,28.3,32.7,24.4,4.5,32.0
Sembawang Road,S122,2015,10,25,1.5,28.1,31.7,25.2,3.8,19.8
Sembawang Road,S122,2015,10,26,0.0,29.1,33.9,26.3,4.4,19.1
Sembawang Road,S122,2015,10,27,0.0,28.5,32.9,25.3,4.2,24.5
Sembawang Road,S122,2015,10,28,12.0,26.8,31.6,22.5,4.8,33.8
Sembawang Road,S122,2015,10,29,0.0,28.6,33.7,23.9,5.4,24.5
Sembawang Road,S122,2015,10,30,40.0,27.3,32.6,23.7,3.5,26.3
Sembawang Road,S122,2015,10,31,0.5,27.2,31.7,24.6,3.8,16.6
Sembawang Road,S122,2015,11,1,3.5,27.1,33.9,24.2,3.5,31.0
Sembawang Road,S122,2015,11,2,32.5,26.6,32.9,23.4,3.8,31.0
Sembawang Road,S122,2015,11,3,6.0,27.5,34.0,23.8,4.2,21.2
Sembawang Road,S122,2015,11,4,0.5,27.4,32.2,24.4,3.4,16.6
Sembawang Road,S122,2015,11,5,0.0,28.4,33.1,24.6,3.4,18.7
Sembawang Road,S122,2015,11,6,1.5,28.2,33.2,25.8,3.3,17.3
Sembawang Road,S122,2015,11,7,20.5,26.9,33.2,23.9,4.3,29.9
Sembawang Road,S122,2015,11,8,9.5,26.6,30.9,24.0,2.7,22.7
Sembawang Road,S122,2015,11,9,13.0,27.5,31.0,24.2,3.8,23.4
Sembawang Road,S122,2015,11,10,0.0,28.0,34.0,25.1,4.1,23.4
Sembawang Road,S122,2015,11,11,36.5,26.3,33.3,24.1,3.2,27.4
Sembawang Road,S122,2015,11,12,0.5,27.3,33.0,24.6,3.8,24.5
Sembawang Road,S122,2015,11,13,14.0,26.7,32.1,24.7,3.0,19.8
Sembawang Road,S122,2015,11,14,0.0,28.6,34.0,24.1,5.0,24.5
Sembawang Road,S122,2015,11,15,6.6,27.2,31.3,25.2,3.3,27.0
Sembawang Road,S122,2015,11,16,53.6,25.7,31.2,23.7,3.9,29.9
Sembawang Road,S122,2015,11,17,14.6,26.9,31.6,23.3,3.6,20.2
Sembawang Road,S122,2015,11,18,0.0,28.5,33.2,24.7,5.2,26.3
Sembawang Road,S122,2015,11,19,0.0,28.3,33.6,25.5,3.7,31.7
Sembawang Road,S122,2015,11,20,0.0,27.0,33.4,24.6,3.7,28.1
Sembawang Road,S122,2015,11,21,18.6,26.6,32.1,24.4,3.2,31.0
Sembawang Road,S122,2015,11,22,0.0,27.4,31.8,24.1,3.2,18.0
Sembawang Road,S122,2015,11,23,0.0,28.4,34.2,24.8,3.5,19.4
Sembawang Road,S122,2015,11,24,31.8,26.3,30.6,24.6,2.9,22.3
Sembawang Road,S122,2015,11,25,1.2,26.8,32.2,23.9,3.6,23.0
Sembawang Road,S122,2015,11,26,9.8,26.6,31.1,24.4,4.5,23.8
Sembawang Road,S122,2015,11,27,0.0,27.4,31.8,24.2,4.0,18.0
Sembawang Road,S122,2015,11,28,0.0,28.2,33.6,24.6,4.2,25.2
Sembawang Road,S122,2015,11,29,0.8,28.5,33.8,25.1,4.5,22.3
Sembawang Road,S122,2015,11,30,31.4,26.9,32.8,24.4,3.5,33.1
Sembawang Road,S122,2015,12,1,11.0,26.2,32.5,23.9,3.7,30.2
Sembawang Road,S122,2015,12,2,2.0,26.5,32.1,24.1,3.2,24.8
Sembawang Road,S122,2015,12,3,0.4,28.3,33.4,24.4,4.6,20.5
Sembawang Road,S122,2015,12,4,31.4,27.7,33.1,24.6,3.6,28.8
Sembawang Road,S122,2015,12,5,65.0,26.9,34.2,24.0,3.8,23.0
Sembawang Road,S122,2015,12,6,6.2,27.1,33.4,24.3,3.7,28.8
Sembawang Road,S122,2015,12,7,0.0,28.7,33.0,24.7,5.8,26.3
Sembawang Road,S122,2015,12,8,19.4,27.6,33.0,24.7,3.5,25.2
Sembawang Road,S122,2015,12,9,4.4,27.8,33.3,24.3,4.5,20.9
Sembawang Road,S122,2015,12,10,19.0,27.4,34.5,24.0,4.3,26.3
Sembawang Road,S122,2015,12,11,4.2,26.8,31.3,24.9,2.9,25.6
Sembawang Road,S122,2015,12,12,5.8,26.7,32.9,24.3,3.3,19.8
Sembawang Road,S122,2015,12,13,9.0,25.7,28.5,24.2,4.2,15.8
Sembawang Road,S122,2015,12,14,1.4,26.9,32.9,23.6,3.5,23.4
Sembawang Road,S122,2015,12,15,0.0,27.0,29.9,24.1,3.3,15.8
Sembawang Road,S122,2015,12,16,0.8,27.4,31.0,24.9,5.2,34.6
Sembawang Road,S122,2015,12,17,0.0,27.6,30.5,25.3,5.4,32.8
Sembawang Road,S122,2015,12,18,5.2,27.4,31.7,25.3,5.3,34.2
Sembawang Road,S122,2015,12,19,0.0,28.5,33.4,24.5,5.9,25.9
Sembawang Road,S122,2015,12,20,0.0,28.5,33.0,24.9,5.5,25.2
Sembawang Road,S122,2015,12,21,0.0,28.6,33.3,25.3,5.0,22.3
Sembawang Road,S122,2015,12,22,0.4,28.7,34.0,25.0,3.4,22.7
Sembawang Road,S122,2015,12,23,6.2,28.0,33.2,22.9,4.1,29.5
Sembawang Road,S122,2015,12,24,52.4,26.3,29.6,23.6,3.3,16.6
Sembawang Road,S122,2015,12,25,1.4,27.6,33.6,23.8,5.6,29.9
Sembawang Road,S122,2015,12,26,0.0,28.5,33.3,24.9,6.6,33.8
Sembawang Road,S122,2015,12,27,0.0,28.5,33.1,24.2,5.8,27.4
Sembawang Road,S122,2015,12,28,0.8,28.3,33.0,25.5,5.8,28.8
Sembawang Road,S122,2015,12,29,20.4,26.1,29.3,24.6,5.4,33.5
Sembawang Road,S122,2015,12,30,0.0,28.3,32.8,25.5,7.3,34.6
Sembawang Road,S122,2015,12,31,1.0,27.1,31.1,25.2,6.3,28.8
Sembawang Road,S122,2016,1,1,5.2,27.1,29.8,24.8,4.7,25.2
Sembawang Road,S122,2016,1,2,26.4,25.8,28.5,23.2,4.0,31.3
Sembawang Road,S122,2016,1,3,1.0,25.8,27.7,24.7,4.0,20.9
Sembawang Road,S122,2016,1,4,0.6,27.7,32.9,24.2,5.4,28.8
Sembawang Road,S122,2016,1,5,0.0,29.0,33.4,26.0,6.5,27.0
Sembawang Road,S122,2016,1,6,0.0,28.9,33.2,26.2,6.5,28.1
Sembawang Road,S122,2016,1,7,0.0,28.8,33.2,26.1,7.2,27.4
Sembawang Road,S122,2016,1,8,0.0,28.8,33.5,25.2,6.5,30.6
Sembawang Road,S122,2016,1,9,0.0,29.1,33.4,26.2,7.2,33.1
Sembawang Road,S122,2016,1,10,0.0,29.1,33.8,26.3,6.5,27.0
Sembawang Road,S122,2016,1,11,12.6,28.0,33.5,25.7,4.7,29.9
Sembawang Road,S122,2016,1,12,0.0,29.2,33.3,26.5,6.8,26.6
Sembawang Road,S122,2016,1,13,0.0,29.0,33.2,26.4,6.5,25.2
Sembawang Road,S122,2016,1,14,3.0,28.7,33.4,26.4,5.4,23.8
Sembawang Road,S122,2016,1,15,15.6,27.5,32.7,24.7,3.6,22.0
Sembawang Road,S122,2016,1,16,0.0,27.4,33.0,24.9,3.2,19.8
Sembawang Road,S122,2016,1,17,22.6,26.6,31.8,24.2,3.6,27.0
Sembawang Road,S122,2016,1,18,1.8,27.7,34.3,24.6,3.6,16.2
Sembawang Road,S122,2016,1,19,0.0,28.6,33.1,26.2,5.4,31.0
Sembawang Road,S122,2016,1,20,0.6,28.2,32.0,25.5,4.7,32.0
Sembawang Road,S122,2016,1,21,0.4,28.2,32.4,26.4,5.0,24.1
Sembawang Road,S122,2016,1,22,4.0,28.2,33.4,25.1,4.7,31.0
Sembawang Road,S122,2016,1,23,1.4,28.0,33.6,26.2,5.8,29.5
Sembawang Road,S122,2016,1,24,0.0,29.0,33.4,26.3,7.6,37.1
Sembawang Road,S122,2016,1,25,6.6,27.8,32.4,25.8,7.2,48.6
Sembawang Road,S122,2016,1,26,1.2,27.7,30.2,25.5,5.8,27.4
Sembawang Road,S122,2016,1,27,0.0,28.6,32.9,25.3,6.1,28.4
Sembawang Road,S122,2016,1,28,13.0,28.2,33.9,24.9,5.4,27.0
Sembawang Road,S122,2016,1,29,2.8,27.9,32.2,24.7,5.0,31.0
Sembawang Road,S122,2016,1,30,0.0,28.9,33.7,26.0,5.4,24.5
Sembawang Road,S122,2016,1,31,0.4,28.8,33.4,26.0,6.1,32.4
Sembawang Road,S122,2016,2,1,0.0,29.0,33.6,25.8,6.8,32.0
Sembawang Road,S122,2016,2,2,4.2,27.8,32.2,24.8,6.1,32.8
Sembawang Road,S122,2016,2,3,0.0,28.4,33.6,24.4,5.8,27.7
Sembawang Road,S122,2016,2,4,0.2,28.1,31.4,26.4,5.0,20.9
Sembawang Road,S122,2016,2,5,18.8,27.6,31.8,25.5,3.6,20.2
Sembawang Road,S122,2016,2,6,5.8,28.5,32.6,26.1,7.2,33.1
Sembawang Road,S122,2016,2,7,27.4,26.8,28.8,24.2,7.9,33.1
Sembawang Road,S122,2016,2,8,0.0,27.4,29.7,26.0,7.2,31.3
Sembawang Road,S122,2016,2,9,0.0,27.0,29.5,25.5,5.4,23.0
Sembawang Road,S122,2016,2,10,6.8,26.4,28.9,24.6,5.8,26.6
Sembawang Road,S122,2016,2,11,0.0,27.6,30.9,25.3,5.8,19.1
Sembawang Road,S122,2016,2,12,16.6,27.7,33.8,22.2,5.4,29.5
Sembawang Road,S122,2016,2,13,0.0,28.6,33.1,25.8,6.8,28.1
Sembawang Road,S122,2016,2,14,7.2,27.7,33.1,25.3,4.7,22.7
Sembawang Road,S122,2016,2,15,0.0,28.9,34.0,25.6,6.5,28.1
Sembawang Road,S122,2016,2,16,0.0,28.6,33.0,26.3,8.3,37.1
Sembawang Road,S122,2016,2,17,0.0,28.1,32.4,25.4,7.2,31.7
Sembawang Road,S122,2016,2,18,0.4,27.6,32.9,23.7,5.8,27.4
Sembawang Road,S122,2016,2,19,91.0,24.9,28.1,23.7,4.0,23.4
Sembawang Road,S122,2016,2,20,0.2,26.5,29.8,24.2,4.7,26.3
Sembawang Road,S122,2016,2,21,0.0,27.5,32.9,23.7,6.5,35.6
Sembawang Road,S122,2016,2,22,0.0,28.2,32.9,25.1,6.5,27.0
Sembawang Road,S122,2016,2,23,0.0,28.3,32.5,25.3,6.5,33.8
Sembawang Road,S122,2016,2,24,5.6,26.2,30.3,24.3,5.0,29.2
Sembawang Road,S122,2016,2,25,0.2,28.0,32.3,25.0,8.3,41.8
Sembawang Road,S122,2016,2,26,0.0,28.3,32.7,25.3,7.6,31.7
Sembawang Road,S122,2016,2,27,0.0,28.5,33.3,24.9,6.8,28.8
Sembawang Road,S122,2016,2,28,0.0,28.5,32.9,26.0,7.9,34.9
Sembawang Road,S122,2016,2,29,0.0,28.7,33.0,26.3,7.9,38.2
Sembawang Road,S122,2016,3,1,0.0,28.7,33.4,25.8,7.6,32.4
Sembawang Road,S122,2016,3,2,0.0,28.4,33.0,25.9,7.9,37.1
Sembawang Road,S122,2016,3,3,0.0,28.6,32.9,25.9,7.9,32.8
Sembawang Road,S122,2016,3,4,0.4,28.5,32.2,25.9,7.2,30.2
Sembawang Road,S122,2016,3,5,0.0,28.9,33.9,26.3,6.8,31.7
Sembawang Road,S122,2016,3,6,0.0,29.4,34.5,26.8,7.9,30.2
Sembawang Road,S122,2016,3,7,6.2,28.4,32.0,26.6,6.5,27.7
Sembawang Road,S122,2016,3,8,13.4,27.5,31.9,25.6,4.7,24.8
Sembawang Road,S122,2016,3,9,0.0,29.4,34.5,26.3,6.5,25.6
Sembawang Road,S122,2016,3,10,13.6,28.3,34.8,26.0,4.7,21.6
Sembawang Road,S122,2016,3,11,0.2,29.4,34.9,26.4,6.1,30.2
Sembawang Road,S122,2016,3,12,0.0,29.2,33.9,25.8,6.8,28.8
Sembawang Road,S122,2016,3,13,7.0,28.6,34.5,24.9,5.8,28.1
Sembawang Road,S122,2016,3,14,0.6,29.2,33.9,26.6,5.4,26.6
Sembawang Road,S122,2016,3,15,0.0,29.1,33.9,26.3,6.5,29.9
Sembawang Road,S122,2016,3,16,0.0,28.7,34.6,24.8,5.0,20.5
Sembawang Road,S122,2016,3,17,0.0,29.1,34.8,25.5,6.5,28.4
Sembawang Road,S122,2016,3,18,0.0,28.8,33.9,25.5,5.8,24.1
Sembawang Road,S122,2016,3,19,0.0,28.9,33.2,25.7,6.5,24.5
Sembawang Road,S122,2016,3,20,3.4,29.0,32.7,26.5,5.4,19.8
Sembawang Road,S122,2016,3,21,44.2,28.5,34.6,24.8,4.7,27.0
Sembawang Road,S122,2016,3,22,0.0,28.3,32.9,26.1,3.6,25.6
Sembawang Road,S122,2016,3,23,0.0,28.9,34.0,25.0,5.0,25.2
Sembawang Road,S122,2016,3,24,0.0,29.5,34.3,26.6,6.8,28.8
Sembawang Road,S122,2016,3,25,25.8,28.2,34.2,23.4,4.3,24.5
Sembawang Road,S122,2016,3,26,0.0,28.7,33.2,25.2,6.5,28.4
Sembawang Road,S122,2016,3,27,0.0,29.3,33.7,26.8,6.8,33.1
Sembawang Road,S122,2016,3,28,0.0,29.5,33.9,26.5,7.9,33.1
Sembawang Road,S122,2016,3,29,0.0,29.3,34.1,26.5,6.8,31.3
Sembawang Road,S122,2016,3,30,0.0,29.4,34.1,26.2,6.8,27.4
Sembawang Road,S122,2016,3,31,0.0,29.3,33.7,26.9,6.8,26.6
Sembawang Road,S122,2016,4,1,0.0,29.6,34.7,26.6,6.8,27.7
Sembawang Road,S122,2016,4,2,0.0,29.8,35.4,26.1,6.5,30.2
Sembawang Road,S122,2016,4,3,25.6,28.4,34.1,24.3,5.0,35.3
Sembawang Road,S122,2016,4,4,0.0,29.3,34.3,25.7,5.4,26.6
Sembawang Road,S122,2016,4,5,0.0,29.1,34.1,27.2,5.4,24.1
Sembawang Road,S122,2016,4,6,0.0,29.4,34.0,25.7,5.8,24.1
Sembawang Road,S122,2016,4,7,0.0,29.4,35.7,25.1,5.0,22.7
Sembawang Road,S122,2016,4,8,0.0,29.8,35.5,26.2,5.0,21.6
Sembawang Road,S122,2016,4,9,28.8,27.7,34.9,24.8,4.0,28.8
Sembawang Road,S122,2016,4,10,0.0,29.1,35.6,24.7,5.0,22.7
Sembawang Road,S122,2016,4,11,0.0,29.8,33.9,26.9,4.0,21.6
Sembawang Road,S122,2016,4,12,4.0,29.4,34.7,26.3,3.6,25.6
Sembawang Road,S122,2016,4,13,0.0,29.6,35.3,26.2,4.3,36.7
Sembawang Road,S122,2016,4,14,0.2,29.4,34.4,26.6,3.6,23.0
Sembawang Road,S122,2016,4,15,4.4,28.2,31.6,25.4,3.2,22.3
Sembawang Road,S122,2016,4,16,5.8,28.5,35.3,25.7,3.6,22.7
Sembawang Road,S122,2016,4,17,0.2,29.6,35.3,25.6,5.0,23.8
Sembawang Road,S122,2016,4,18,0.0,30.0,35.6,25.6,4.3,22.0
Sembawang Road,S122,2016,4,19,0.0,30.9,35.4,27.9,6.1,26.6
Sembawang Road,S122,2016,4,20,0.0,29.4,34.7,26.6,4.7,27.7
Sembawang Road,S122,2016,4,21,0.0,30.5,35.4,27.2,6.1,24.5
Sembawang Road,S122,2016,4,22,14.2,28.9,35.0,25.4,4.3,32.0
Sembawang Road,S122,2016,4,23,39.6,27.7,32.3,25.4,4.0,24.1
Sembawang Road,S122,2016,4,24,0.6,28.6,33.1,26.3,3.6,20.2
Sembawang Road,S122,2016,4,25,30.4,27.7,33.3,23.7,3.2,25.6
Sembawang Road,S122,2016,4,26,1.2,28.2,33.3,25.3,2.9,16.6
Sembawang Road,S122,2016,4,27,37.2,27.7,34.4,24.2,3.2,28.8
Sembawang Road,S122,2016,4,28,26.8,27.3,33.3,25.1,3.2,23.8
Sembawang Road,S122,2016,4,29,5.0,27.5,34.7,25.1,3.2,26.3
Sembawang Road,S122,2016,4,30,17.2,27.4,34.2,24.6,3.6,33.1
Sembawang Road,S122,2016,5,1,0.0,29.1,34.2,24.9,4.3,18.4
Sembawang Road,S122,2016,5,2,8.0,27.8,33.7,25.2,3.2,34.6
Sembawang Road,S122,2016,5,3,0.2,29.4,34.9,25.2,4.7,23.0
Sembawang Road,S122,2016,5,4,0.0,30.4,35.1,26.2,5.0,27.4
Sembawang Road,S122,2016,5,5,11.2,28.5,34.8,25.5,3.2,35.6
Sembawang Road,S122,2016,5,6,0.0,28.7,34.5,26.4,3.6,25.9
Sembawang Road,S122,2016,5,7,0.2,28.5,35.0,25.7,3.2,24.5
Sembawang Road,S122,2016,5,8,2.4,28.9,33.3,25.6,4.0,21.2
Sembawang Road,S122,2016,5,9,0.0,29.2,33.9,25.8,4.3,36.4
Sembawang Road,S122,2016,5,10,0.0,30.0,35.5,26.3,4.3,22.7
Sembawang Road,S122,2016,5,11,81.2,28.4,35.4,24.5,3.2,40.3
Sembawang Road,S122,2016,5,12,1.6,28.3,33.5,25.6,3.2,20.9
Sembawang Road,S122,2016,5,13,4.4,28.0,31.9,24.9,2.9,24.8
Sembawang Road,S122,2016,5,14,20.0,27.2,33.6,24.8,3.2,24.8
Sembawang Road,S122,2016,5,15,12.0,27.6,34.2,25.3,2.9,20.9
Sembawang Road,S122,2016,5,16,14.4,27.7,33.7,24.6,3.2,37.8
Sembawang Road,S122,2016,5,17,10.6,28.1,34.1,25.8,2.9,25.2
Sembawang Road,S122,2016,5,18,12.4,27.2,33.4,25.6,3.2,22.7
Sembawang Road,S122,2016,5,19,5.2,28.3,33.3,25.5,3.6,27.7
Sembawang Road,S122,2016,5,20,0.0,29.4,34.6,26.1,3.2,16.2
Sembawang Road,S122,2016,5,21,0.4,28.3,31.4,24.9,4.0,25.9
Sembawang Road,S122,2016,5,22,33.2,28.3,33.9,24.7,4.3,30.2
Sembawang Road,S122,2016,5,23,0.8,29.0,34.6,25.0,4.0,23.0
Sembawang Road,S122,2016,5,24,0.8,29.1,33.4,26.7,4.3,26.6
Sembawang Road,S122,2016,5,25,4.6,29.4,34.8,26.0,3.6,23.8
Sembawang Road,S122,2016,5,26,0.2,28.2,32.8,25.5,5.0,23.0
Sembawang Road,S122,2016,5,27,0.0,29.2,33.0,26.1,5.0,23.4
Sembawang Road,S122,2016,5,28,32.2,28.0,32.2,23.7,3.2,29.5
Sembawang Road,S122,2016,5,29,0.0,29.5,34.8,25.8,3.6,16.2
Sembawang Road,S122,2016,5,30,1.0,28.0,33.0,25.4,4.3,32.8
Sembawang Road,S122,2016,5,31,0.0,28.8,34.0,24.9,3.6,20.9
Sembawang Road,S122,2016,6,1,2.4,27.1,30.9,25.1,3.6,27.7
Sembawang Road,S122,2016,6,2,44.6,26.6,33.6,23.5,2.9,33.1
Sembawang Road,S122,2016,6,3,4.4,26.9,33.4,24.5,2.9,20.9
Sembawang Road,S122,2016,6,4,0.8,26.1,27.7,24.5,2.5,19.1
Sembawang Road,S122,2016,6,5,0.2,28.1,32.8,25.0,3.2,14.4
Sembawang Road,S122,2016,6,6,0.0,28.7,33.5,25.7,4.0,23.0
Sembawang Road,S122,2016,6,7,0.0,28.9,33.8,25.8,4.3,23.8
Sembawang Road,S122,2016,6,8,55.6,26.6,31.3,22.4,3.2,34.2
Sembawang Road,S122,2016,6,9,4.2,27.9,33.4,25.1,2.9,23.8
Sembawang Road,S122,2016,6,10,2.4,27.9,32.2,24.9,4.0,18.4
Sembawang Road,S122,2016,6,11,8.0,27.1,31.9,25.4,3.2,25.6
Sembawang Road,S122,2016,6,12,0.2,28.1,33.4,25.0,4.0,27.0
Sembawang Road,S122,2016,6,13,0.2,28.1,33.9,24.8,3.2,19.4
Sembawang Road,S122,2016,6,14,0.8,27.6,32.0,25.4,2.9,19.8
Sembawang Road,S122,2016,6,15,56.2,27.0,31.2,24.1,3.6,28.8
Sembawang Road,S122,2016,6,16,3.4,27.0,31.5,24.7,3.2,27.4
Sembawang Road,S122,2016,6,17,41.2,25.5,30.0,24.0,4.3,32.0
Sembawang Road,S122,2016,6,18,0.2,26.8,31.0,24.0,2.5,13.3
Sembawang Road,S122,2016,6,19,0.0,27.2,30.2,24.7,2.5,11.9
Sembawang Road,S122,2016,6,20,0.0,28.1,32.5,24.7,4.0,27.4
Sembawang Road,S122,2016,6,21,0.0,27.9,32.7,25.4,2.5,18.7
Sembawang Road,S122,2016,6,22,3.0,26.4,31.9,23.8,3.6,22.7
Sembawang Road,S122,2016,6,23,0.0,28.4,32.8,25.1,4.3,22.7
Sembawang Road,S122,2016,6,24,32.6,26.4,30.3,22.8,3.2,37.1
Sembawang Road,S122,2016,6,25,0.0,28.6,33.3,25.3,5.0,23.8
Sembawang Road,S122,2016,6,26,0.6,28.0,31.5,25.1,4.0,24.5
Sembawang Road,S122,2016,6,27,0.0,28.4,31.5,26.4,4.7,21.6
Sembawang Road,S122,2016,6,28,0.0,29.6,34.5,25.7,4.3,22.0
Sembawang Road,S122,2016,6,29,0.0,29.7,34.9,26.0,3.2,23.0
Sembawang Road,S122,2016,6,30,0.0,30.1,33.8,26.9,5.0,21.6
Sembawang Road,S122,2016,7,1,0.0,30.0,33.9,26.6,5.4,18.7
Sembawang Road,S122,2016,7,2,0.0,30.1,34.2,27.1,4.7,20.9
Sembawang Road,S122,2016,7,3,0.0,30.4,34.5,27.4,5.4,21.2
Sembawang Road,S122,2016,7,4,0.0,30.4,34.7,27.3,5.0,19.1
Sembawang Road,S122,2016,7,5,0.0,30.1,34.1,26.4,5.4,23.4
Sembawang Road,S122,2016,7,6,0.4,29.0,33.2,25.4,4.7,24.8
Sembawang Road,S122,2016,7,7,0.0,29.1,32.8,25.4,5.8,27.0
Sembawang Road,S122,2016,7,8,5.4,27.4,31.1,23.8,3.6,30.2
Sembawang Road,S122,2016,7,9,0.0,29.1,33.9,24.7,5.4,25.6
Sembawang Road,S122,2016,7,10,0.0,28.9,33.5,25.2,4.3,24.8
Sembawang Road,S122,2016,7,11,3.2,27.3,31.0,25.1,4.3,31.0
Sembawang Road,S122,2016,7,12,0.0,29.5,34.3,25.2,4.3,19.4
Sembawang Road,S122,2016,7,13,8.8,27.2,31.0,24.5,3.2,39.2
Sembawang Road,S122,2016,7,14,8.0,26.2,30.5,24.1,3.2,28.8
Sembawang Road,S122,2016,7,15,42.0,26.2,32.2,23.7,3.2,39.2
Sembawang Road,S122,2016,7,16,0.0,28.0,33.3,24.3,3.6,19.8
Sembawang Road,S122,2016,7,17,0.8,27.2,33.8,24.9,3.2,28.1
Sembawang Road,S122,2016,7,18,1.6,26.8,32.4,24.2,2.9,19.8
Sembawang Road,S122,2016,7,19,24.0,27.4,33.2,23.1,5.4,40.0
Sembawang Road,S122,2016,7,20,13.4,26.8,30.2,23.1,3.6,35.6
Sembawang Road,S122,2016,7,21,5.2,27.3,31.7,24.3,4.0,23.8
Sembawang Road,S122,2016,7,22,4.0,25.7,28.8,24.2,3.2,21.2
Sembawang Road,S122,2016,7,23,0.6,26.8,32.2,23.9,3.6,23.0
Sembawang Road,S122,2016,7,24,7.4,26.1,31.3,24.5,2.9,16.9
Sembawang Road,S122,2016,7,25,0.6,26.7,29.6,24.3,2.9,19.1
Sembawang Road,S122,2016,7,26,42.4,25.7,29.8,22.2,3.2,36.0
Sembawang Road,S122,2016,7,27,0.0,28.0,33.3,23.9,4.0,18.7
Sembawang Road,S122,2016,7,28,12.4,26.7,31.2,23.7,3.2,32.0
Sembawang Road,S122,2016,7,29,0.0,28.1,32.6,24.1,5.0,25.9
Sembawang Road,S122,2016,7,30,0.0,28.3,32.0,25.5,3.2,19.4
Sembawang Road,S122,2016,7,31,1.0,27.2,32.6,25.1,4.0,18.7
Sembawang Road,S122,2016,8,1,0.0,27.3,31.8,24.6,4.3,24.1
Sembawang Road,S122,2016,8,2,0.0,28.9,33.5,25.2,5.4,26.3
Sembawang Road,S122,2016,8,3,3.6,27.2,31.3,22.1,4.7,41.0
Sembawang Road,S122,2016,8,4,0.0,28.4,32.1,25.6,6.5,26.6
Sembawang Road,S122,2016,8,5,0.4,29.2,33.5,26.2,4.7,24.5
Sembawang Road,S122,2016,8,6,0.0,28.1,33.2,25.3,4.0,23.4
Sembawang Road,S122,2016,8,7,0.0,28.6,33.4,25.6,4.0,25.9
Sembawang Road,S122,2016,8,8,0.0,28.8,33.8,25.6,3.2,16.9
Sembawang Road,S122,2016,8,9,0.0,28.7,33.6,25.0,4.3,24.8
Sembawang Road,S122,2016,8,10,0.0,29.4,33.9,25.9,5.4,27.4
Sembawang Road,S122,2016,8,11,0.6,27.9,31.7,26.4,4.0,21.6
Sembawang Road,S122,2016,8,12,0.0,28.4,31.9,26.1,4.0,33.8
Sembawang Road,S122,2016,8,13,6.4,28.5,33.3,25.3,3.6,21.6
Sembawang Road,S122,2016,8,14,1.0,28.3,33.1,24.6,5.4,28.8
Sembawang Road,S122,2016,8,15,0.4,29.1,33.9,25.2,5.4,24.5
Sembawang Road,S122,2016,8,16,0.0,29.4,33.2,25.2,6.1,29.2
Sembawang Road,S122,2016,8,17,2.4,28.5,33.6,25.7,5.0,29.2
Sembawang Road,S122,2016,8,18,0.0,29.4,33.6,25.6,6.5,30.6
Sembawang Road,S122,2016,8,19,19.0,28.1,32.5,22.6,5.8,34.9
Sembawang Road,S122,2016,8,20,1.6,29.6,33.1,26.1,5.8,23.8
